_id,barcode,batch_id,shift_id,place_id,quality_status,defect_type,manufacturing_date,operator_id,operator_name,timestamp,product_id
6863f04bde50757c26707e06,1120106250013,a,A,Bangalore,,,01-06-2025,OP3,John,01-06-2025 09:44,AABAN010625001
6863f04bde50757c26707e07,1120106250020,a,A,Bangalore,,,01-06-2025,OP2,Priya,01-06-2025 10:04,AABAN010625002
6863f04bde50757c26707e08,1120106250037,a,A,Bangalore,,,01-06-2025,OP4,Anita,01-06-2025 10:23,AABAN010625003
6863f04bde50757c26707e09,1120106250044,a,A,Bangalore,,,01-06-2025,OP3,John,01-06-2025 09:43,AABAN010625004
6863f04bde50757c26707e0a,1130106250050,a,A,Hyderabad,,,01-06-2025,OP3,John,01-06-2025 08:59,AAHYD010625005
6863f04bde50757c26707e0b,1130106250067,a,A,Hyderabad,,,01-06-2025,OP2,Priya,01-06-2025 08:19,AAHYD010625006
6863f04bde50757c26707e0c,1120106250075,a,A,Bangalore,,,01-06-2025,OP2,Priya,01-06-2025 09:49,AABAN010625007
6863f04bde50757c26707e0d,1110106250083,a,A,Chennai,,,01-06-2025,OP5,Sneha,01-06-2025 08:28,AACHE010625008
6863f04bde50757c26707e0e,1130106250098,a,A,Hyderabad,,,01-06-2025,OP2,Priya,01-06-2025 10:44,AAHYD010625009
6863f04bde50757c26707e0f,1120106250105,a,A,Bangalore,,,01-06-2025,OP1,Ravi,01-06-2025 10:07,AABAN010625010
6863f04bde50757c26707e10,1210106250110,a,B,Chennai,,,01-06-2025,OP5,Sneha,01-06-2025 12:06,ABCHE010625011
6863f04bde50757c26707e11,1210106250127,a,B,Chennai,,,01-06-2025,OP3,John,01-06-2025 14:13,ABCHE010625012
6863f04bde50757c26707e12,1220106250133,a,B,Bangalore,,,01-06-2025,OP3,John,01-06-2025 13:48,ABBAN010625013
6863f04bde50757c26707e13,1220106250140,a,B,Bangalore,,,01-06-2025,OP5,Sneha,01-06-2025 14:06,ABBAN010625014
6863f04bde50757c26707e14,1230106250156,a,B,Hyderabad,,,01-06-2025,OP4,Anita,01-06-2025 12:43,ABHYD010625015
